Actor,costar1,costar2,crew1,crew2,crew3
 Chris Farley, David Spade, Brian Dennehy, Peter Segal, Lorne Michaels, Bonnie Turner
 David Spade, Chris Farley, Brian Dennehy, Peter Segal, Lorne Michaels, Bonnie Turner
 Brian Dennehy, Chris Farley, David Spade, Peter Segal, Lorne Michaels, Bonnie Turner
 Cherie Chung, Tony Leung Ka-Fai, Chor Yuen, Patrick Tam Kar-Ming, Patrick Tam Kar-Ming, Patrick Tam Kar-Ming
 Tony Leung Ka-Fai, Cherie Chung, Chor Yuen, Patrick Tam Kar-Ming, Patrick Tam Kar-Ming, Patrick Tam Kar-Ming
 Chor Yuen, Cherie Chung, Tony Leung Ka-Fai, Patrick Tam Kar-Ming, Patrick Tam Kar-Ming, Patrick Tam Kar-Ming
 Emmanuelle Vaugier, Sierra McCormick, Jared Gilmore, Michael Feifer, Chad Rehmann, Carl Bartels
 Sierra McCormick, Emmanuelle Vaugier, Jared Gilmore, Michael Feifer, Chad Rehmann, Carl Bartels
 Jared Gilmore, Emmanuelle Vaugier, Sierra McCormick, Michael Feifer, Chad Rehmann, Carl Bartels
 Longji Wang, , , Gong Yan, Ming Zhao, 
 Jean-Pierre Jeunet, Sigourney Weaver, Winona Ryder, Charles de Lauzirika, Charles de Lauzirika, Charles de Lauzirika
 Sigourney Weaver, Jean-Pierre Jeunet, Winona Ryder, Charles de Lauzirika, Charles de Lauzirika, Charles de Lauzirika
 Winona Ryder, Jean-Pierre Jeunet, Sigourney Weaver, Charles de Lauzirika, Charles de Lauzirika, Charles de Lauzirika
 Bret Hart, Rodney Anoai, Harry Fujiwara, , , 
 Rodney Anoai, Bret Hart, Harry Fujiwara, , , 
 Harry Fujiwara, Bret Hart, Rodney Anoai, , , 
 Brian Donlevy, William Holden, Ellen Drew, Stuart Heisler, Dalton Trumbo, Richard Blumenthal
 William Holden, Brian Donlevy, Ellen Drew, Stuart Heisler, Dalton Trumbo, Richard Blumenthal
 Ellen Drew, Brian Donlevy, William Holden, Stuart Heisler, Dalton Trumbo, Richard Blumenthal
 Bruce Davison, Lori Lethin, John Putch, Alexander Grasshoff, Ron Jones, 
 Lori Lethin, Bruce Davison, John Putch, Alexander Grasshoff, Ron Jones, 
 John Putch, Bruce Davison, Lori Lethin, Alexander Grasshoff, Ron Jones, 
 Clark Gable, Walter Pidgeon, Van Johnson, Sam Wood, William R. Laidlaw, George Froeschel
 Walter Pidgeon, Clark Gable, Van Johnson, Sam Wood, William R. Laidlaw, George Froeschel
 Van Johnson, Clark Gable, Walter Pidgeon, Sam Wood, William R. Laidlaw, George Froeschel
 Dick Proenneke, , , Dick Proenneke, , 
 Farrah Fawcett, Melissa Gilbert, Robin Givens, Joyce Chopra, Jackie Collins, 
 Melissa Gilbert, Farrah Fawcett, Robin Givens, Joyce Chopra, Jackie Collins, 
 Robin Givens, Farrah Fawcett, Melissa Gilbert, Joyce Chopra, Jackie Collins, 
 Kurt Russell, Kim Cattrall, Dennis Dun, John Carpenter, Gary Goldman, David Z. Weinstein
 Kim Cattrall, Kurt Russell, Dennis Dun, John Carpenter, Gary Goldman, David Z. Weinstein
 Dennis Dun, Kurt Russell, Kim Cattrall, John Carpenter, Gary Goldman, David Z. Weinstein
 Barry Gordon, Jon Voight, Lada Edmund Jr., Paul Williams, Paul Williams, 
 Jon Voight, Barry Gordon, Lada Edmund Jr., Paul Williams, Paul Williams, 
 Lada Edmund Jr., Barry Gordon, Jon Voight, Paul Williams, Paul Williams, 
 Ashley Williams, Tom Cavanagh, Viv Leacock, , , 
 Tom Cavanagh, Ashley Williams, Viv Leacock, , , 
 Viv Leacock, Ashley Williams, Tom Cavanagh, , , 
 Ginger Rogers, Ronald Colman, Jack Carson, Lewis Milestone, Allan Scott, John Van Druten
 Ronald Colman, Ginger Rogers, Jack Carson, Lewis Milestone, Allan Scott, John Van Druten
 Jack Carson, Ginger Rogers, Ronald Colman, Lewis Milestone, Allan Scott, John Van Druten
 Kay Kay Menon, Aditya Srivastava, Aditya Srivastava, Anurag Kashyap, Anurag Kashyap, Natraj
 Ed Sheeran, , , , , 
 Harry Belafonte, Robert Ryan, Shelley Winters, Robert Wise, William P. McGivern, Abraham Polonsky
 Robert Ryan, Harry Belafonte, Shelley Winters, Robert Wise, William P. McGivern, Abraham Polonsky
 Shelley Winters, Harry Belafonte, Robert Ryan, Robert Wise, William P. McGivern, Abraham Polonsky
 Sharon Mitchell, Chuck Gavoian, Al Troupe, Mike Tristano, James Holiday, Charles Rojas
 Chuck Gavoian, Sharon Mitchell, Al Troupe, Mike Tristano, James Holiday, Charles Rojas
 Al Troupe, Sharon Mitchell, Chuck Gavoian, Mike Tristano, James Holiday, Charles Rojas
 Naomi Watts, Josh Brolin, Antonio Banderas, Woody Allen, Woody Allen, 
 Josh Brolin, Naomi Watts, Antonio Banderas, Woody Allen, Woody Allen, 
 Antonio Banderas, Naomi Watts, Josh Brolin, Woody Allen, Woody Allen, 
 Lloyd Nolan, Lynn Bari, Mary Beth Hughes, Eugene Forde, Stanley Rauh, Frederick Nebel
 Lynn Bari, Lloyd Nolan, Mary Beth Hughes, Eugene Forde, Stanley Rauh, Frederick Nebel
 Mary Beth Hughes, Lloyd Nolan, Lynn Bari, Eugene Forde, Stanley Rauh, Frederick Nebel
 Shirley Temple, Eugene Butler, Gloria Ann Mack, Charles Lamont, Charles Lamont, Jack Hays
 Eugene Butler, Shirley Temple, Gloria Ann Mack, Charles Lamont, Charles Lamont, Jack Hays
 Gloria Ann Mack, Shirley Temple, Eugene Butler, Charles Lamont, Charles Lamont, Jack Hays
 Anne Randall, Alan Landers, James Westmoreland, Andy Sidaris, William Edgar, Leon Mirell
 Alan Landers, Anne Randall, James Westmoreland, Andy Sidaris, William Edgar, Leon Mirell
 James Westmoreland, Anne Randall, Alan Landers, Andy Sidaris, William Edgar, Leon Mirell
 Melvyn Douglas, Louise Platt, Gene Lockhart, Leslie Fenton, Lionel Houser, Pauline London
 Louise Platt, Melvyn Douglas, Gene Lockhart, Leslie Fenton, Lionel Houser, Pauline London
 Gene Lockhart, Melvyn Douglas, Louise Platt, Leslie Fenton, Lionel Houser, Pauline London
 Jessie Matthews, Ian Hunter, Frederick Kerr, Sinclair Hill, W.P. Lipscomb, Michael Balcon
 Ian Hunter, Jessie Matthews, Frederick Kerr, Sinclair Hill, W.P. Lipscomb, Michael Balcon
 Frederick Kerr, Jessie Matthews, Ian Hunter, Sinclair Hill, W.P. Lipscomb, Michael Balcon
 Jordan Garrett, , , James Becket, , 
 Steven Marlo, Luana Patten, Tom Selden, Irvin Kershner, , 
 Luana Patten, Steven Marlo, Tom Selden, Irvin Kershner, , 
 Tom Selden, Steven Marlo, Luana Patten, Irvin Kershner, , 
 Jesse James, Jack Warden, Jack Warden, Kevin Brodie, , 
 John Waters, Divine, Mary Vivian Pearce, Steve Yeager, , 
 Divine, John Waters, Mary Vivian Pearce, Steve Yeager, , 
 Mary Vivian Pearce, John Waters, Divine, Steve Yeager, , 
 The Dalai Lama, Michael Bernard Beckwith, Jack Canfield, Demian Lichtenstein, Dave Hagen, Demian Lichtenstein
 Michael Bernard Beckwith, The Dalai Lama, Jack Canfield, Demian Lichtenstein, Dave Hagen, Demian Lichtenstein
 Jack Canfield, The Dalai Lama, Michael Bernard Beckwith, Demian Lichtenstein, Dave Hagen, Demian Lichtenstein
 Aleksei Lyarsky, Irina Zarubina, Varvara Massalitinova, Mark Donskoy, , 
 Irina Zarubina, Aleksei Lyarsky, Varvara Massalitinova, Mark Donskoy, , 
 Varvara Massalitinova, Aleksei Lyarsky, Irina Zarubina, Mark Donskoy, , 
 Yukihiko Kageyama, Kitamura Toyoharu, Mok Chi-Yee, Tommy Yu, , 
 Kitamura Toyoharu, Yukihiko Kageyama, Mok Chi-Yee, Tommy Yu, , 
 Mok Chi-Yee, Yukihiko Kageyama, Kitamura Toyoharu, Tommy Yu, , 
 Barbara Windsor, Kenneth Williams, , , , 
 Kenneth Williams, Barbara Windsor, , , , 
 , Barbara Windsor, Kenneth Williams, , , 
 Jesse James, Reiley McClendon, Stephen Baldwin, Rocco DeVilliers, , 
 Reiley McClendon, Jesse James, Stephen Baldwin, Rocco DeVilliers, , 
 Stephen Baldwin, Jesse James, Reiley McClendon, Rocco DeVilliers, , 
 Bruce Boxleitner, Jeff Denton, Rhett Giles, , , 
 Jeff Denton, Bruce Boxleitner, Rhett Giles, , , 
 Rhett Giles, Bruce Boxleitner, Jeff Denton, , , 
 Arletty, Jean Coquelin, Laure Diana, Jean Choux, , 
 Jean Coquelin, Arletty, Laure Diana, Jean Choux, , 
 Laure Diana, Arletty, Jean Coquelin, Jean Choux, , 
 Randhir Gatla, Akurati Ramhith, Rajeev Kanakala, Marthand K Venkatesh, Seshu Priyanka Chalasani, Anil Bandari
 Akurati Ramhith, Randhir Gatla, Rajeev Kanakala, Marthand K Venkatesh, Seshu Priyanka Chalasani, Anil Bandari
 Rajeev Kanakala, Randhir Gatla, Akurati Ramhith, Marthand K Venkatesh, Seshu Priyanka Chalasani, Anil Bandari
 Ryoo Seung-Bum, Shin Min-a, Kim Kang-Woo, Gye-byeok Lee, Hwang Jo-yun, 
 Shin Min-a, Ryoo Seung-Bum, Kim Kang-Woo, Gye-byeok Lee, Hwang Jo-yun, 
 Kim Kang-Woo, Ryoo Seung-Bum, Shin Min-a, Gye-byeok Lee, Hwang Jo-yun, 
 Aleksey Filimonov, Karolina Gruszka, Varvara Voetskova, Ivan Vyrypaev, Ivan Vyrypaev, Andrey Naydyonov
 Karolina Gruszka, Aleksey Filimonov, Varvara Voetskova, Ivan Vyrypaev, Ivan Vyrypaev, Andrey Naydyonov
 Varvara Voetskova, Aleksey Filimonov, Karolina Gruszka, Ivan Vyrypaev, Ivan Vyrypaev, Andrey Naydyonov
 Pau Nubiola, Santi Serra, Pavel Lukiyanov, Sergio Caballero, Sergio Caballero, 
 Santi Serra, Pau Nubiola, Pavel Lukiyanov, Sergio Caballero, Sergio Caballero, 
 Pavel Lukiyanov, Pau Nubiola, Santi Serra, Sergio Caballero, Sergio Caballero, 
 Patrick Swayze, Matthew Knight, Amy Schlagel, James Orr, Wanda Birdsong Shope, James Orr
 Matthew Knight, Patrick Swayze, Amy Schlagel, James Orr, Wanda Birdsong Shope, James Orr
 Amy Schlagel, Patrick Swayze, Matthew Knight, James Orr, Wanda Birdsong Shope, James Orr
 Willis Sperry, , , Winston Jones, , 
 Wallace Reid, Ann Little, Theodore Roberts, James Cruze, , 
 Ann Little, Wallace Reid, Theodore Roberts, James Cruze, , 
 Theodore Roberts, Wallace Reid, Ann Little, James Cruze, , 
 Walt Disney, Thelma Boardman, Florence Gill, Riley Thomson, Walt Disney, Les Clark
 Thelma Boardman, Walt Disney, Florence Gill, Riley Thomson, Walt Disney, Les Clark
 Florence Gill, Walt Disney, Thelma Boardman, Riley Thomson, Walt Disney, Les Clark
 Charles Grodin, Jeannie Berlin, Mitchell Jason, Elaine May, Bruce Jay Friedman, Neil Simon
 Jeannie Berlin, Charles Grodin, Mitchell Jason, Elaine May, Bruce Jay Friedman, Neil Simon
 Mitchell Jason, Charles Grodin, Jeannie Berlin, Elaine May, Bruce Jay Friedman, Neil Simon
 Billy Zane, Mia Sara, James Russo, Strathford Hamilton, Michael Thoma, James Hadley Chase
 Mia Sara, Billy Zane, James Russo, Strathford Hamilton, Michael Thoma, James Hadley Chase
 James Russo, Billy Zane, Mia Sara, Strathford Hamilton, Michael Thoma, James Hadley Chase
 Pras, , , Ross Clarke, Niva Dorell, Marshall Tyler
 Philip Michael Thomas, , , Oscar Williams, , 
 Judith Light, Johnny Galecki, Vanessa King, Eric Till, Christopher Canaan, 
 Johnny Galecki, Judith Light, Vanessa King, Eric Till, Christopher Canaan, 
 Vanessa King, Judith Light, Johnny Galecki, Eric Till, Christopher Canaan, 
 Chad Cole, Sara Rue, Amber Borycki, George Mendeluk, , 
 Sara Rue, Chad Cole, Amber Borycki, George Mendeluk, , 
 Amber Borycki, Chad Cole, Sara Rue, George Mendeluk, , 
 Anna Rita Grapputo, Cinzia Mambretti, Cristina Moranzoni, Carlo Lizzani, , 
 Cinzia Mambretti, Anna Rita Grapputo, Cristina Moranzoni, Carlo Lizzani, , 
 Cristina Moranzoni, Anna Rita Grapputo, Cinzia Mambretti, Carlo Lizzani, , 
 Yaphet Kotto, Andrew Duggan, Jeannie Berlin, Larry Cohen, Larry Cohen, 
 Andrew Duggan, Yaphet Kotto, Jeannie Berlin, Larry Cohen, Larry Cohen, 
 Jeannie Berlin, Yaphet Kotto, Andrew Duggan, Larry Cohen, Larry Cohen, 
 Morrissey, Johnny Marr, Andy Rourke, , , 
 Johnny Marr, Morrissey, Andy Rourke, , , 
 Andy Rourke, Morrissey, Johnny Marr, , , 
 Randolph Scott, Donna Reed, Lee Marvin, Roy Huggins, Roy Huggins, 
 Donna Reed, Randolph Scott, Lee Marvin, Roy Huggins, Roy Huggins, 
 Lee Marvin, Randolph Scott, Donna Reed, Roy Huggins, Roy Huggins, 
 Uffe Holm, , , Uffe Holm, Uffe Holm, 
 Kim Jung-eun, Kim Seung-woo, ,  Jang Hang-joon, , 
 Kim Seung-woo, Kim Jung-eun, ,  Jang Hang-joon, , 
 , Kim Jung-eun, Kim Seung-woo,  Jang Hang-joon, , 
 Maurizio Merli, John Saxon, Barry Sullivan, Umberto Lenzi, Fabrizio De Angelis, Franco Micalizzi
 John Saxon, Maurizio Merli, Barry Sullivan, Umberto Lenzi, Fabrizio De Angelis, Franco Micalizzi
 Barry Sullivan, Maurizio Merli, John Saxon, Umberto Lenzi, Fabrizio De Angelis, Franco Micalizzi
 Ju Ji-Hoon, Kim Jae-wook, Yoo Ah-In, Min Kyu-Dong, Min Kyu-Dong, 
 Kim Jae-wook, Ju Ji-Hoon, Yoo Ah-In, Min Kyu-Dong, Min Kyu-Dong, 
 Yoo Ah-In, Ju Ji-Hoon, Kim Jae-wook, Min Kyu-Dong, Min Kyu-Dong, 
 Dorothy Gish, Ralph Lewis, Eugene Pallette, Chester M. Franklin, Sidney Franklin, Bernard McConville
 Ralph Lewis, Dorothy Gish, Eugene Pallette, Chester M. Franklin, Sidney Franklin, Bernard McConville
 Eugene Pallette, Dorothy Gish, Ralph Lewis, Chester M. Franklin, Sidney Franklin, Bernard McConville
 Alysson Paradis, , , Vincent Lecrocq, , 
 Michael Rennie, James MacArthur, Janet Munro, Ken Annakin, Eleanore Griffin, 
 James MacArthur, Michael Rennie, Janet Munro, Ken Annakin, Eleanore Griffin, 
 Janet Munro, Michael Rennie, James MacArthur, Ken Annakin, Eleanore Griffin, 
 Tobias Schneebaum, Norman Mailer, Michael Nelson Rockefeller, David Shapiro, Laurie Gwen Shapiro, 
 Norman Mailer, Tobias Schneebaum, Michael Nelson Rockefeller, David Shapiro, Laurie Gwen Shapiro, 
 Michael Nelson Rockefeller, Tobias Schneebaum, Norman Mailer, David Shapiro, Laurie Gwen Shapiro, 
 Curly Howard, , , Jules White, , 
 Dennis Hopper, Stephen Dorff, Debi Mazar, Stuart Gordon, Ted Mann, Stuart Gordon
 Stephen Dorff, Dennis Hopper, Debi Mazar, Stuart Gordon, Ted Mann, Stuart Gordon
 Debi Mazar, Dennis Hopper, Stephen Dorff, Stuart Gordon, Ted Mann, Stuart Gordon
 Buster Keaton, Jimmy Durante, Ruth Selwyn, Edward Sedgwick, Clarence Budington Kelland, Buster Keaton
 Jimmy Durante, Buster Keaton, Ruth Selwyn, Edward Sedgwick, Clarence Budington Kelland, Buster Keaton
 Ruth Selwyn, Buster Keaton, Jimmy Durante, Edward Sedgwick, Clarence Budington Kelland, Buster Keaton
 Billy Bob Thornton, Hank Azaria, Kelly Lynch, Stephen Gyllenhaal, , 
 Hank Azaria, Billy Bob Thornton, Kelly Lynch, Stephen Gyllenhaal, , 
 Kelly Lynch, Billy Bob Thornton, Hank Azaria, Stephen Gyllenhaal, , 
 Asami Ogawa, Michio Hino, Tatsuya Hamaguchi, Masaru Konuma, , 
 Michio Hino, Asami Ogawa, Tatsuya Hamaguchi, Masaru Konuma, , 
 Tatsuya Hamaguchi, Asami Ogawa, Michio Hino, Masaru Konuma, , 
 Kelly Galindo, Christina Walker, Rod Sweitzer, Francis Patrick Creighton, , 
 Christina Walker, Kelly Galindo, Rod Sweitzer, Francis Patrick Creighton, , 
 Rod Sweitzer, Kelly Galindo, Christina Walker, Francis Patrick Creighton, , 
 Mick Jagger, Eddie Vedder, Paul McCartney, , , 
 Eddie Vedder, Mick Jagger, Paul McCartney, , , 
 Paul McCartney, Mick Jagger, Eddie Vedder, , , 
 Yu Jun-Sang, Park Young-Seo, Choi Hee-won, Shim Sang-Kuk, , 
 Park Young-Seo, Yu Jun-Sang, Choi Hee-won, Shim Sang-Kuk, , 
 Choi Hee-won, Yu Jun-Sang, Park Young-Seo, Shim Sang-Kuk, , 
 Joshua Pak, , , Dave Mossop, Eric Crosland, 
 Rick Neilsen, Tom Petersson, Robin Zander, , , 
 Tom Petersson, Rick Neilsen, Robin Zander, , , 
 Robin Zander, Rick Neilsen, Tom Petersson, , , 
 Paddy Kelly, Angelo Kelly, Maite Kelly, , , 
 Angelo Kelly, Paddy Kelly, Maite Kelly, , , 
 Maite Kelly, Paddy Kelly, Angelo Kelly, , , 
 Joe Jackson, Tom Teeley, Gary Burke, , , 
 Tom Teeley, Joe Jackson, Gary Burke, , , 
 Gary Burke, Joe Jackson, Tom Teeley, , , 
 Eloise DeJoria, Veronica Dunne, Martin Kove, Ricky Schroder, , 
 Veronica Dunne, Eloise DeJoria, Martin Kove, Ricky Schroder, , 
 Martin Kove, Eloise DeJoria, Veronica Dunne, Ricky Schroder, , 
 Danny Kaye, Cara Williams, Martha Hyer, Frank Tashlin, William Peter Blatty, William Peter Blatty
 Cara Williams, Danny Kaye, Martha Hyer, Frank Tashlin, William Peter Blatty, William Peter Blatty
 Martha Hyer, Danny Kaye, Cara Williams, Frank Tashlin, William Peter Blatty, William Peter Blatty
 Maureen McCormick, Eve Plumb, Florence Henderson, Peter Baldwin, Lloyd J. Schwartz, Sherwood Schwartz
 Eve Plumb, Maureen McCormick, Florence Henderson, Peter Baldwin, Lloyd J. Schwartz, Sherwood Schwartz
 Florence Henderson, Maureen McCormick, Eve Plumb, Peter Baldwin, Lloyd J. Schwartz, Sherwood Schwartz
 Paul Robeson, Rachel Thomas, Edward Chapman, Pen Tennyson, Alfredda Brilliant, Herbert Marshall
 Rachel Thomas, Paul Robeson, Edward Chapman, Pen Tennyson, Alfredda Brilliant, Herbert Marshall
 Edward Chapman, Paul Robeson, Rachel Thomas, Pen Tennyson, Alfredda Brilliant, Herbert Marshall
 Beau Bridges, Pam Dawber, Tess Harper, Peter Levin, , 
 Pam Dawber, Beau Bridges, Tess Harper, Peter Levin, , 
 Tess Harper, Beau Bridges, Pam Dawber, Peter Levin, , 
 Michael Jackson, , , , , 
 Bill Pullman, Bridget Fonda, Oliver Platt, Steve Miner, Michael Pressman, David E. Kelley
 Bridget Fonda, Bill Pullman, Oliver Platt, Steve Miner, Michael Pressman, David E. Kelley
 Oliver Platt, Bill Pullman, Bridget Fonda, Steve Miner, Michael Pressman, David E. Kelley
 Andrew Dice Clay, Teri Hatcher, Yuji Okumoto, Albert Pyun, Albert Pyun, 
 Teri Hatcher, Andrew Dice Clay, Yuji Okumoto, Albert Pyun, Albert Pyun, 
 Yuji Okumoto, Andrew Dice Clay, Teri Hatcher, Albert Pyun, Albert Pyun, 
 Marshall McClean, Matt Pittenger, Christian Mousel, Marc Saltarelli, Tom O'Leary, 
 Matt Pittenger, Marshall McClean, Christian Mousel, Marc Saltarelli, Tom O'Leary, 
 Christian Mousel, Marshall McClean, Matt Pittenger, Marc Saltarelli, Tom O'Leary, 
 Redd Foxx, , , Marty Callner, Redd Foxx, 
 Hot Tuna, , , , , 
 Darya Yekamasova, Nina Ruslanova, Vladislav Abashin, Andrey Smirnov, , 
 Nina Ruslanova, Darya Yekamasova, Vladislav Abashin, Andrey Smirnov, , 
 Vladislav Abashin, Darya Yekamasova, Nina Ruslanova, Andrey Smirnov, , 
 Robert Montgomery, Ingrid Bergman, George Sanders, W.S. Van Dyke, James Hilton, Gottfried Reinhardt
 Ingrid Bergman, Robert Montgomery, George Sanders, W.S. Van Dyke, James Hilton, Gottfried Reinhardt
 George Sanders, Robert Montgomery, Ingrid Bergman, W.S. Van Dyke, James Hilton, Gottfried Reinhardt
 Renos Haralambidis, Yannis Zouganelis, Takis Spiridakis, Renos Haralambidis, Renos Haralambidis, 
 Yannis Zouganelis, Renos Haralambidis, Takis Spiridakis, Renos Haralambidis, Renos Haralambidis, 
 Takis Spiridakis, Renos Haralambidis, Yannis Zouganelis, Renos Haralambidis, Renos Haralambidis, 
 Mack Sennett, Ford Sterling, Roscoe 'Fatty' Arbuckle, Mack Sennett, Mack Sennett, 
 Ford Sterling, Mack Sennett, Roscoe 'Fatty' Arbuckle, Mack Sennett, Mack Sennett, 
 Roscoe 'Fatty' Arbuckle, Mack Sennett, Ford Sterling, Mack Sennett, Mack Sennett, 
 Jackie Chan, Michelle Ferre, Mirai Yamamoto, Jackie Chan, Jackie Chan, Barbie Tung
 Michelle Ferre, Jackie Chan, Mirai Yamamoto, Jackie Chan, Jackie Chan, Barbie Tung
 Mirai Yamamoto, Jackie Chan, Michelle Ferre, Jackie Chan, Jackie Chan, Barbie Tung
 George K. Arthur, Gertrude Olmstead, Joan Crawford, William A. Wellman, , 
 Gertrude Olmstead, George K. Arthur, Joan Crawford, William A. Wellman, , 
 Joan Crawford, George K. Arthur, Gertrude Olmstead, William A. Wellman, , 
 Sophia Loren, Anthony Perkins, Burl Ives, Delbert Mann, Irwin Shaw, Eugene O'Neill
 Anthony Perkins, Sophia Loren, Burl Ives, Delbert Mann, Irwin Shaw, Eugene O'Neill
 Burl Ives, Sophia Loren, Anthony Perkins, Delbert Mann, Irwin Shaw, Eugene O'Neill
 Christopher Plummer, Margot Kidder, Sarah Lassez, Jean Pellerin, Kenneth J. Hall, 
 Margot Kidder, Christopher Plummer, Sarah Lassez, Jean Pellerin, Kenneth J. Hall, 
 Sarah Lassez, Christopher Plummer, Margot Kidder, Jean Pellerin, Kenneth J. Hall, 
 Annette Schwarz, Cherie, Dunia Montenegro, John Stagliano, , 
 Cherie, Annette Schwarz, Dunia Montenegro, John Stagliano, , 
 Dunia Montenegro, Annette Schwarz, Cherie, John Stagliano, , 
 Tony Kakko, Elias Viljanen, Henrik Klingenberg, Dariusz Szermanowicz, Rafal Szermanowicz, Dariusz Szermanowicz
 Elias Viljanen, Tony Kakko, Henrik Klingenberg, Dariusz Szermanowicz, Rafal Szermanowicz, Dariusz Szermanowicz
 Henrik Klingenberg, Tony Kakko, Elias Viljanen, Dariusz Szermanowicz, Rafal Szermanowicz, Dariusz Szermanowicz
 Alessandro Siani, Christian De Sica, Sarah Felberbaum, Alessandro Siani, , 
 Christian De Sica, Alessandro Siani, Sarah Felberbaum, Alessandro Siani, , 
 Sarah Felberbaum, Alessandro Siani, Christian De Sica, Alessandro Siani, , 
 Robert Downey Jr., Val Kilmer, Michelle Monaghan, Shane Black, Joel Silver, Susan Downey
 Val Kilmer, Robert Downey Jr., Michelle Monaghan, Shane Black, Joel Silver, Susan Downey
 Michelle Monaghan, Robert Downey Jr., Val Kilmer, Shane Black, Joel Silver, Susan Downey
 Jaime King, Terry Chen, Cheng Pei-pei, Trevor Markwart, Uwe Boll, Diane Boehme
 Terry Chen, Jaime King, Cheng Pei-pei, Trevor Markwart, Uwe Boll, Diane Boehme
 Cheng Pei-pei, Jaime King, Terry Chen, Trevor Markwart, Uwe Boll, Diane Boehme
 Billy Zane, William Sadler, Jada Pinkett Smith, Ernest R. Dickerson, Gilbert Adler, Richard Edlund
 William Sadler, Billy Zane, Jada Pinkett Smith, Ernest R. Dickerson, Gilbert Adler, Richard Edlund
 Jada Pinkett Smith, Billy Zane, William Sadler, Ernest R. Dickerson, Gilbert Adler, Richard Edlund
 Robert Mitchum, George Kennedy, Martin Balsam, Burt Kennedy, Ronald M. Cohen, Dennis Shryack
 George Kennedy, Robert Mitchum, Martin Balsam, Burt Kennedy, Ronald M. Cohen, Dennis Shryack
 Martin Balsam, Robert Mitchum, George Kennedy, Burt Kennedy, Ronald M. Cohen, Dennis Shryack
 Jennifer Rhodes, Kimberly McArthur, Patrick Lowe, Deborah Brock, Deborah Brock, Deborah Brock
 Kimberly McArthur, Jennifer Rhodes, Patrick Lowe, Deborah Brock, Deborah Brock, Deborah Brock
 Patrick Lowe, Jennifer Rhodes, Kimberly McArthur, Deborah Brock, Deborah Brock, Deborah Brock
 Megan Gallagher, Greg Cipes, Eric Lutes, Kelly Sandefur, Rick Drew, 
 Greg Cipes, Megan Gallagher, Eric Lutes, Kelly Sandefur, Rick Drew, 
 Eric Lutes, Megan Gallagher, Greg Cipes, Kelly Sandefur, Rick Drew, 
 Whitney Houston, Cee Lo Green, Derek Luke, Salim Akil, Mara Brock Akil, R. Kelly
 Cee Lo Green, Whitney Houston, Derek Luke, Salim Akil, Mara Brock Akil, R. Kelly
 Derek Luke, Whitney Houston, Cee Lo Green, Salim Akil, Mara Brock Akil, R. Kelly
 Rajnikanth, Sujatha, Kamal Haasan, B. S. Lokanath, N. R. Kittu, K. Balachander
 Sujatha, Rajnikanth, Kamal Haasan, B. S. Lokanath, N. R. Kittu, K. Balachander
 Kamal Haasan, Rajnikanth, Sujatha, B. S. Lokanath, N. R. Kittu, K. Balachander
 Wolfgang Kieling, Catherine Schell, William Marlowe, , , 
 Catherine Schell, Wolfgang Kieling, William Marlowe, , , 
 William Marlowe, Wolfgang Kieling, Catherine Schell, , , 
 Fred Savage, Amy Adams, Erinn Bartlett, Robert Benjamin, Marty Hornstein, Laura Karpman
 Amy Adams, Fred Savage, Erinn Bartlett, Robert Benjamin, Marty Hornstein, Laura Karpman
 Erinn Bartlett, Fred Savage, Amy Adams, Robert Benjamin, Marty Hornstein, Laura Karpman
 Matthew Newton, Craig Horner, Kristian Schmid, Evan Clarry, Stephen Davis, Kier Shorey
 Craig Horner, Matthew Newton, Kristian Schmid, Evan Clarry, Stephen Davis, Kier Shorey
 Kristian Schmid, Matthew Newton, Craig Horner, Evan Clarry, Stephen Davis, Kier Shorey
 Deborah Kerr, Madhur Jaffrey, Alec McCowen, Mary McMurray, , 
 Madhur Jaffrey, Deborah Kerr, Alec McCowen, Mary McMurray, , 
 Alec McCowen, Deborah Kerr, Madhur Jaffrey, Mary McMurray, , 
 Walter Matthau, Julie Andrews, Tony Curtis, Walter Bernstein, Damon Runyon, Walter Bernstein
 Julie Andrews, Walter Matthau, Tony Curtis, Walter Bernstein, Damon Runyon, Walter Bernstein
 Tony Curtis, Walter Matthau, Julie Andrews, Walter Bernstein, Damon Runyon, Walter Bernstein
 Denis Leary, Michael Chiklis, Lenny Clarke, Rick Bernstein, George Roy, Brian Keane
 Michael Chiklis, Denis Leary, Lenny Clarke, Rick Bernstein, George Roy, Brian Keane
 Lenny Clarke, Denis Leary, Michael Chiklis, Rick Bernstein, George Roy, Brian Keane
 Michael Madsen, Helen Slater, Jeffrey Tambor, Miguel Tejada-Flores, Ken Wiederhorn, Ken Wiederhorn
 Helen Slater, Michael Madsen, Jeffrey Tambor, Miguel Tejada-Flores, Ken Wiederhorn, Ken Wiederhorn
 Jeffrey Tambor, Michael Madsen, Helen Slater, Miguel Tejada-Flores, Ken Wiederhorn, Ken Wiederhorn
 Michael Sopkiw, Suzane Carvalho, Milton Rodriguez, Michele Massimo Tarantini, Michele Massimo Tarantini, Michele Massimo Tarantini
 Suzane Carvalho, Michael Sopkiw, Milton Rodriguez, Michele Massimo Tarantini, Michele Massimo Tarantini, Michele Massimo Tarantini
